valid,epoch,epoch_utc,lat_deg,lon_deg,alt_m,air_temp_degC,humdity_percent,humidity_sensor_temp_degC,pres_mb,module_error,rs41_rh_percent,wv_mixing_ratio_ppmv
[bool],[epoch],[iso8601],[deg],[deg],[m],[C],[%],[C],[mb],[#],[%],[ppmv]
True,1786655915,2026-08-13T21:18:35Z,,,,25.0700,31.5400,30.3100,767.9600,0,42.8359,18076.3315
True,1786655916,2026-08-13T21:18:36Z,,,,25.0700,31.5400,30.3000,767.9600,0,42.8114,18065.7940
True,1786655917,2026-08-13T21:18:37Z,,,,25.0700,31.5400,30.3000,767.9600,0,42.8114,18065.7940
True,1786655918,2026-08-13T21:18:38Z,,,,25.0700,31.5600,30.2900,767.9400,0,42.8140,18067.3969
True,1786655919,2026-08-13T21:18:39Z,,,,25.0700,31.5400,30.3100,768.0200,0,42.8359,18074.8938
True,1786655920,2026-08-13T21:18:40Z,,,,25.0700,31.5500,30.3000,768.0200,0,42.8250,18070.1881
True,1786655921,2026-08-13T21:18:41Z,,,,25.0700,31.5400,30.3100,768.0600,0,42.8359,18073.9354
True,1786655922,2026-08-13T21:18:42Z,,,,25.0600,31.5900,30.2900,768.0200,0,42.8803,18082.9640
True,1786655923,2026-08-13T21:18:43Z,,,,25.0700,31.5900,30.3000,767.9400,0,42.8793,18095.4315
True,1786655924,2026-08-13T21:18:44Z,,,,25.0700,31.5400,30.3000,767.9600,0,42.8114,18065.7940
True,1786655925,2026-08-13T21:18:45Z,,,,25.0700,31.5600,30.3000,768.0400,0,42.8386,18075.5399
True,1786655926,2026-08-13T21:18:46Z,,,,25.0600,31.5900,30.2900,768.0200,0,42.8803,18082.9640
True,1786655927,2026-08-13T21:18:47Z,,,,25.0700,31.6000,30.2900,768.0200,0,42.8683,18088.7918
True,1786655928,2026-08-13T21:18:48Z,,,,25.0700,31.5500,30.2900,768.0800,0,42.8005,18058.2172
True,1786655929,2026-08-13T21:18:49Z,,,,25.0700,31.5600,30.3000,768.0600,0,42.8386,18075.0607
True,1786655930,2026-08-13T21:18:50Z,,,,25.0600,31.5900,30.2900,768.0200,0,42.8803,18082.9640
True,1786655931,2026-08-13T21:18:51Z,,,,25.0700,31.5500,30.3100,768.0000,0,42.8495,18081.2075
True,1786655932,2026-08-13T21:18:52Z,,,,25.0600,31.6100,30.3000,767.9600,0,42.9320,18106.6153
True,1786655933,2026-08-13T21:18:53Z,,,,25.0700,31.5500,30.3000,767.9800,0,42.8250,18071.1462
True,1786655934,2026-08-13T21:18:54Z,,,,25.0600,31.5600,30.2900,768.0200,0,42.8395,18065.4810
True,1786655935,2026-08-13T21:18:55Z,,,,25.0600,31.6000,30.2900,768.0800,0,42.8938,18087.3532
True,1786655936,2026-08-13T21:18:56Z,,,,25.0600,31.5600,30.3000,767.9400,0,42.8641,18077.9362
True,1786655937,2026-08-13T21:18:57Z,,,,25.0700,31.5400,30.3000,768.0800,0,42.8114,18062.9205
True,1786655938,2026-08-13T21:18:58Z,,,,25.0600,31.5700,30.2900,767.9600,0,42.8531,18072.7460
True,1786655939,2026-08-13T21:18:59Z,,,,25.0700,31.5300,30.3000,767.9600,0,42.7978,18059.9626
True,1786655940,2026-08-13T21:19:00Z,,,,25.0700,31.5500,30.3100,767.9600,0,42.8495,18082.1663
True,1786655941,2026-08-13T21:19:01Z,,,,25.0700,31.5400,30.3000,768.0000,0,42.8114,18064.8360
True,1786655942,2026-08-13T21:19:02Z,,,,25.0600,31.5900,30.2900,767.9800,0,42.8803,18083.9229
True,1786655943,2026-08-13T21:19:03Z,,,,25.0900,31.5400,30.3100,768.0000,0,42.7849,18075.3730
True,1786655944,2026-08-13T21:19:04Z,,,,25.0700,31.5300,30.3000,768.1000,0,42.7978,18056.6114
True,1786655945,2026-08-13T21:19:05Z,,,,25.0900,31.5400,30.3100,768.1000,0,42.7849,18072.9772
True,1786655946,2026-08-13T21:19:06Z,,,,25.0700,31.6100,30.2900,767.9800,0,42.8819,18095.5792
True,1786655947,2026-08-13T21:19:07Z,,,,25.0900,31.5400,30.3200,768.1600,0,42.8094,18082.0801
True,1786655948,2026-08-13T21:19:08Z,,,,25.0900,31.5600,30.3100,767.9200,0,42.8121,18088.9605
True,1786655949,2026-08-13T21:19:09Z,,,,25.0700,31.5400,30.3000,768.1200,0,42.8114,18061.9629
True,1786655950,2026-08-13T21:19:10Z,,,,25.0700,31.5600,30.2900,768.0000,0,42.8140,18065.9599
True,1786655951,2026-08-13T21:19:11Z,,,,25.0900,31.5400,30.3100,768.0800,0,42.7849,18073.4563
True,1786655952,2026-08-13T21:19:12Z,,,,25.0900,31.5200,30.3100,768.1400,0,42.7578,18060.3523
True,1786655953,2026-08-13T21:19:13Z,,,,25.0900,31.5400,30.3100,768.1000,0,42.7849,18072.9772
True,1786655954,2026-08-13T21:19:14Z,,,,25.0700,31.6000,30.2900,768.0000,0,42.8683,18089.2714
True,1786655955,2026-08-13T21:19:15Z,,,,25.1000,31.5200,30.3200,768.0800,0,42.7568,18072.3230
